"View Credit Memo","Gutschrift anzeigen"
"Issue Credit Memo","Gutschrift erstellen"
"Approve","Genehmigen"
"Approve this withdrawal request?","Diesen Widerrufsantrag genehmigen?"
"Deny","Ablehnen"
"Legal reason for denial (min 10 chars):","Rechtsgrundlage für Ablehnung (mind. 10 Zeichen):"
"Cancel Request","Antrag stornieren"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Diesen Widerruf stornieren? Optional eine Notiz für den Kunden hinzufügen (sichtbar in der Stornierungs-E-Mail):"
"Resend Receipt","Beleg erneut senden"
"Send the receipt email again? The customer will receive another copy.","Beleg-E-Mail erneut senden? Der Kunde erhält eine weitere Kopie."
"Withdrawal Request #%1","Widerrufsantrag #%1"
"Request Details","Antragsdetails"
"Information","Information"
"Reason for Denial","Ablehnungsgrund"
"Customer Cancellation Note","Kundenstornierungsnotiz"
"Cancellation Note","Stornierungsnotiz"
"Status-Change Note","Statusänderungsnotiz"
"Code","Code"
"Label","Bezeichnung"
"Add Reason","Grund hinzufügen"
"In progress","In Bearbeitung"
"Refund issued","Erstattung ausgestellt"
"Denied","Abgelehnt"
"Cancelled","Storniert"
"Pending","Ausstehend"
"This is a transactional email about your order.","Dies ist eine Transaktions-E-Mail zu Ihrer Bestellung."
"Reason for denial","Ablehnungsgrund"
"Your cancellation note","Ihre Stornierungsnotiz"
"Note from our team","Hinweis unseres Teams"
"EU right of withdrawal","EU-Widerrufsrecht"
"Withdrawal right pending delivery","Widerrufsrecht bis zur Lieferung ausstehend"
"Withdrawal window has ended","Widerrufsfrist abgelaufen"
"Not eligible for withdrawal","Nicht widerrufsberechtigt"
"Withdrawal already requested","Widerrufsantrag bereits eingereicht"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Sie können diesen Vertrag jederzeit widerrufen — die 14-tägige Frist beginnt erst mit der Lieferung der Bestellung."
"Your 14-day withdrawal window will begin once this order is delivered.","Ihre 14-tägige Widerrufsfrist beginnt mit der Lieferung dieser Bestellung."
"The 14-day window for withdrawing from this contract has ended.","Die 14-tägige Frist zum Widerruf dieses Vertrags ist abgelaufen."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Diese Bestellung ist nach EU-Verbraucherrecht nicht widerrufsberechtigt (Art. 16 Richtlinie 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Für diese Bestellung wurde ein Widerrufsantrag eingereicht. Siehe Antragsdetails unten."
